source_dir_name,sample_id,error,traceback,timestamp,failure_kind,source_prefix,source_timestamp,object,sample_type,n_objects_parsed,is_empty,is_offgrid,is_rotated,is_multi_object,speakers_parsed,x_position_parsed,y_position_parsed,experiment_id,new_object,new_n_objects,new_speakers,new_x_position,new_y_position,mask_file_name,segmented_overhead_file_name,speckle_vibrations_file_name,audio_file_name,speckle_shifts_ifft_audio_file_name,old_sample_idx,old_object,old_n_objects,old_speakers,old_x_position,old_y_position,raw_image,cropped_image,overlay_image,already_in_new_dataset,old_row_found,old_image_found,has_new_mask,has_new_segmented_overhead,has_new_preview_video,has_new_ifft_audio,old_npz_found,old_raw_found,old_preview_video_found,can_recover_without_raw,can_recover_full,needs_manual_review
cube-00x10y_0001--31-03-20-00-04,37,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-00x10y_0001--31-03-20-00-04/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.980405,missing_experiment_config,cube-00x10y,31-03-20-00-04,cube,grid_single,1,False,False,False,False,0001,0.0,10.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-00x10y_0010--31-03-20-00-02,38,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-00x10y_0010--31-03-20-00-02/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.980460,missing_experiment_config,cube-00x10y,31-03-20-00-02,cube,grid_single,1,False,False,False,False,0010,0.0,10.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-00x10y_0100--31-03-20-00-01,39,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-00x10y_0100--31-03-20-00-01/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.980519,missing_experiment_config,cube-00x10y,31-03-20-00-01,cube,grid_single,1,False,False,False,False,0100,0.0,10.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-00x10y_1000--31-03-19-59-59,40,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-00x10y_1000--31-03-19-59-59/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.980573,missing_experiment_config,cube-00x10y,31-03-19-59-59,cube,grid_single,1,False,False,False,False,1000,0.0,10.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-00x11y_0001--31-03-20-05-52,41,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-00x11y_0001--31-03-20-05-52/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.980678,missing_experiment_config,cube-00x11y,31-03-20-05-52,cube,grid_single,1,False,False,False,False,0001,0.0,11.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-00x11y_0010--31-03-20-05-50,42,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-00x11y_0010--31-03-20-05-50/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.980733,missing_experiment_config,cube-00x11y,31-03-20-05-50,cube,grid_single,1,False,False,False,False,0010,0.0,11.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-00x11y_0100--31-03-20-05-48,43,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-00x11y_0100--31-03-20-05-48/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.980788,missing_experiment_config,cube-00x11y,31-03-20-05-48,cube,grid_single,1,False,False,False,False,0100,0.0,11.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-00x11y_1000--31-03-20-05-45,44,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-00x11y_1000--31-03-20-05-45/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.980842,missing_experiment_config,cube-00x11y,31-03-20-05-45,cube,grid_single,1,False,False,False,False,1000,0.0,11.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x02y_0001--31-03-18-28-06,49,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x02y_0001--31-03-18-28-06/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.980896,missing_experiment_config,cube-01x02y,31-03-18-28-06,cube,grid_single,1,False,False,False,False,0001,1.0,2.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x02y_0010--31-03-18-28-04,50,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x02y_0010--31-03-18-28-04/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.980956,missing_experiment_config,cube-01x02y,31-03-18-28-04,cube,grid_single,1,False,False,False,False,0010,1.0,2.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x02y_0100--31-03-18-28-02,51,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x02y_0100--31-03-18-28-02/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981006,missing_experiment_config,cube-01x02y,31-03-18-28-02,cube,grid_single,1,False,False,False,False,0100,1.0,2.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x02y_1000--31-03-18-27-59,52,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x02y_1000--31-03-18-27-59/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981054,missing_experiment_config,cube-01x02y,31-03-18-27-59,cube,grid_single,1,False,False,False,False,1000,1.0,2.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x03y_0001--31-03-18-33-47,53,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x03y_0001--31-03-18-33-47/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981104,missing_experiment_config,cube-01x03y,31-03-18-33-47,cube,grid_single,1,False,False,False,False,0001,1.0,3.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x03y_0010--31-03-18-33-45,54,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x03y_0010--31-03-18-33-45/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981152,missing_experiment_config,cube-01x03y,31-03-18-33-45,cube,grid_single,1,False,False,False,False,0010,1.0,3.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x03y_0100--31-03-18-33-44,55,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x03y_0100--31-03-18-33-44/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981201,missing_experiment_config,cube-01x03y,31-03-18-33-44,cube,grid_single,1,False,False,False,False,0100,1.0,3.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
cube-01x03y_1000--31-03-18-33-42,56,/net/mraid20/ifs/wisdom/groups/mark_sheinin_lab/DATA/experiment-15/cube-01x03y_1000--31-03-18-33-42/experiment_config.json not found,"NoneType: None
",2026-04-23T05:08:46.981249,missing_experiment_config,cube-01x03y,31-03-18-33-42,cube,grid_single,1,False,False,False,False,1000,1.0,3.0,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
